doc_id,title,department,year,region,text
D138,"Document Title D138 (sales)",sales,2020,north_america,"This is the body text of document D138 in department sales for region north_america and year 2020."
D139,"Document Title D139 (hr)",hr,2023,north_america,"This is the body text of document D139 in department hr for region north_america and year 2023."
D140,"Document Title D140 (engineering)",engineering,2022,north_america,"This is the body text of document D140 in department engineering for region north_america and year 2022."
D141,"Document Title D141 (sales)",sales,2022,asia_pacific,"This is the body text of document D141 in department sales for region asia_pacific and year 2022."
D142,"Document Title D142 (marketing)",marketing,2025,north_america,"This is the body text of document D142 in department marketing for region north_america and year 2025."
D143,"Document Title D143 (finance)",finance,2024,north_america,"This is the body text of document D143 in department finance for region north_america and year 2024."
D144,"Document Title D144 (legal)",legal,2024,asia_pacific,"This is the body text of document D144 in department legal for region asia_pacific and year 2024."
D145,"Document Title D145 (marketing)",marketing,2026,latin_america,"This is the body text of document D145 in department marketing for region latin_america and year 2026."
D146,"Document Title D146 (finance)",finance,2022,north_america,"This is the body text of document D146 in department finance for region north_america and year 2022."
D147,"Document Title D147 (marketing)",marketing,2021,europe,"This is the body text of document D147 in department marketing for region europe and year 2021."
D148,"Document Title D148 (legal)",legal,2025,north_america,"This is the body text of document D148 in department legal for region north_america and year 2025."
D149,"Document Title D149 (sales)",sales,2020,latin_america,"This is the body text of document D149 in department sales for region latin_america and year 2020."
D150,"Document Title D150 (legal)",legal,2026,latin_america,"This is the body text of document D150 in department legal for region latin_america and year 2026."
D151,"Document Title D151 (hr)",hr,2024,asia_pacific,"This is the body text of document D151 in department hr for region asia_pacific and year 2024."
D152,"Document Title D152 (sales)",sales,2021,north_america,"This is the body text of document D152 in department sales for region north_america and year 2021."
D153,"Document Title D153 (legal)",legal,2023,europe,"This is the body text of document D153 in department legal for region europe and year 2023."
D154,"Document Title D154 (engineering)",engineering,2025,asia_pacific,"This is the body text of document D154 in department engineering for region asia_pacific and year 2025."
D155,"Document Title D155 (sales)",sales,2022,asia_pacific,"This is the body text of document D155 in department sales for region asia_pacific and year 2022."
D156,"Document Title D156 (legal)",legal,2025,asia_pacific,"This is the body text of document D156 in department legal for region asia_pacific and year 2025."
D157,"Document Title D157 (engineering)",engineering,2024,europe,"This is the body text of document D157 in department engineering for region europe and year 2024."
D158,"Document Title D158 (marketing)",marketing,2022,latin_america,"This is the body text of document D158 in department marketing for region latin_america and year 2022."
D159,"Document Title D159 (hr)",hr,2020,latin_america,"This is the body text of document D159 in department hr for region latin_america and year 2020."
D160,"Document Title D160 (sales)",sales,2026,europe,"This is the body text of document D160 in department sales for region europe and year 2026."
D161,"Document Title D161 (finance)",finance,2024,europe,"This is the body text of document D161 in department finance for region europe and year 2024."
D162,"Document Title D162 (sales)",sales,2023,north_america,"This is the body text of document D162 in department sales for region north_america and year 2023."
D163,"Document Title D163 (hr)",hr,2020,latin_america,"This is the body text of document D163 in department hr for region latin_america and year 2020."
D164,"Document Title D164 (sales)",sales,2026,europe,"This is the body text of document D164 in department sales for region europe and year 2026."
D165,"Document Title D165 (sales)",sales,2024,asia_pacific,"This is the body text of document D165 in department sales for region asia_pacific and year 2024."
D166,"Document Title D166 (hr)",hr,2025,europe,"This is the body text of document D166 in department hr for region europe and year 2025."
D167,"Document Title D167 (finance)",finance,2025,latin_america,"This is the body text of document D167 in department finance for region latin_america and year 2025."
D168,"Document Title D168 (finance)",finance,2026,latin_america,"This is the body text of document D168 in department finance for region latin_america and year 2026."
D169,"Document Title D169 (hr)",hr,2020,asia_pacific,"This is the body text of document D169 in department hr for region asia_pacific and year 2020."
D170,"Document Title D170 (finance)",finance,2021,latin_america,"This is the body text of document D170 in department finance for region latin_america and year 2021."
D171,"Document Title D171 (finance)",finance,2026,asia_pacific,"This is the body text of document D171 in department finance for region asia_pacific and year 2026."
D172,"Document Title D172 (finance)",finance,2024,asia_pacific,"This is the body text of document D172 in department finance for region asia_pacific and year 2024."
D173,"Document Title D173 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D173 in department engineering for region asia_pacific and year 2022."
D174,"Document Title D174 (legal)",legal,2020,asia_pacific,"This is the body text of document D174 in department legal for region asia_pacific and year 2020."
D175,"Document Title D175 (marketing)",marketing,2021,north_america,"This is the body text of document D175 in department marketing for region north_america and year 2021."
D176,"Document Title D176 (engineering)",engineering,2026,europe,"This is the body text of document D176 in department engineering for region europe and year 2026."
D177,"Document Title D177 (sales)",sales,2020,latin_america,"This is the body text of document D177 in department sales for region latin_america and year 2020."
D178,"Document Title D178 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D178 in department engineering for region asia_pacific and year 2026."
D179,"Document Title D179 (marketing)",marketing,2026,latin_america,"This is the body text of document D179 in department marketing for region latin_america and year 2026."
D180,"Document Title D180 (engineering)",engineering,2020,latin_america,"This is the body text of document D180 in department engineering for region latin_america and year 2020."
D181,"Document Title D181 (legal)",legal,2024,europe,"This is the body text of document D181 in department legal for region europe and year 2024."
D182,"Document Title D182 (hr)",hr,2024,asia_pacific,"This is the body text of document D182 in department hr for region asia_pacific and year 2024."
D183,"Document Title D183 (engineering)",engineering,2024,north_america,"This is the body text of document D183 in department engineering for region north_america and year 2024."
D184,"Document Title D184 (marketing)",marketing,2024,latin_america,"This is the body text of document D184 in department marketing for region latin_america and year 2024."
D185,"Document Title D185 (sales)",sales,2024,latin_america,"This is the body text of document D185 in department sales for region latin_america and year 2024."
D186,"Document Title D186 (sales)",sales,2020,latin_america,"This is the body text of document D186 in department sales for region latin_america and year 2020."
D187,"Document Title D187 (legal)",legal,2024,asia_pacific,"This is the body text of document D187 in department legal for region asia_pacific and year 2024."
D188,"Document Title D188 (hr)",hr,2023,asia_pacific,"This is the body text of document D188 in department hr for region asia_pacific and year 2023."
D189,"Document Title D189 (legal)",legal,2021,latin_america,"This is the body text of document D189 in department legal for region latin_america and year 2021."
D190,"Document Title D190 (hr)",hr,2022,latin_america,"This is the body text of document D190 in department hr for region latin_america and year 2022."
D191,"Document Title D191 (finance)",finance,2020,europe,"This is the body text of document D191 in department finance for region europe and year 2020."
D192,"Document Title D192 (hr)",hr,2023,north_america,"This is the body text of document D192 in department hr for region north_america and year 2023."
D193,"Document Title D193 (legal)",legal,2025,latin_america,"This is the body text of document D193 in department legal for region latin_america and year 2025."
D194,"Document Title D194 (legal)",legal,2022,europe,"This is the body text of document D194 in department legal for region europe and year 2022."
D195,"Document Title D195 (hr)",hr,2020,north_america,"This is the body text of document D195 in department hr for region north_america and year 2020."
D196,"Document Title D196 (sales)",sales,2022,latin_america,"This is the body text of document D196 in department sales for region latin_america and year 2022."
D197,"Document Title D197 (finance)",finance,2026,latin_america,"This is the body text of document D197 in department finance for region latin_america and year 2026."
D198,"Document Title D198 (sales)",sales,2023,north_america,"This is the body text of document D198 in department sales for region north_america and year 2023."
D199,"Document Title D199 (engineering)",engineering,2020,north_america,"This is the body text of document D199 in department engineering for region north_america and year 2020."
D200,"Document Title D200 (finance)",finance,2020,north_america,"This is the body text of document D200 in department finance for region north_america and year 2020."
D201,"Document Title D201 (legal)",legal,2022,latin_america,"This is the body text of document D201 in department legal for region latin_america and year 2022."
D202,"Document Title D202 (sales)",sales,2026,asia_pacific,"This is the body text of document D202 in department sales for region asia_pacific and year 2026."
D203,"Document Title D203 (engineering)",engineering,2020,europe,"This is the body text of document D203 in department engineering for region europe and year 2020."
D204,"Document Title D204 (sales)",sales,2026,north_america,"This is the body text of document D204 in department sales for region north_america and year 2026."
D205,"Document Title D205 (finance)",finance,2021,north_america,"This is the body text of document D205 in department finance for region north_america and year 2021."
D206,"Document Title D206 (sales)",sales,2021,asia_pacific,"This is the body text of document D206 in department sales for region asia_pacific and year 2021."
D207,"Document Title D207 (sales)",sales,2023,asia_pacific,"This is the body text of document D207 in department sales for region asia_pacific and year 2023."
D208,"Document Title D208 (hr)",hr,2022,europe,"This is the body text of document D208 in department hr for region europe and year 2022."
D209,"Document Title D209 (legal)",legal,2026,asia_pacific,"This is the body text of document D209 in department legal for region asia_pacific and year 2026."
D210,"Document Title D210 (sales)",sales,2023,latin_america,"This is the body text of document D210 in department sales for region latin_america and year 2023."
D211,"Document Title D211 (hr)",hr,2025,europe,"This is the body text of document D211 in department hr for region europe and year 2025."
D212,"Document Title D212 (legal)",legal,2021,europe,"This is the body text of document D212 in department legal for region europe and year 2021."
D213,"Document Title D213 (legal)",legal,2026,latin_america,"This is the body text of document D213 in department legal for region latin_america and year 2026."
D214,"Document Title D214 (finance)",finance,2026,north_america,"This is the body text of document D214 in department finance for region north_america and year 2026."
D215,"Document Title D215 (legal)",legal,2023,latin_america,"This is the body text of document D215 in department legal for region latin_america and year 2023."
D216,"Document Title D216 (finance)",finance,2024,north_america,"This is the body text of document D216 in department finance for region north_america and year 2024."
D217,"Document Title D217 (engineering)",engineering,2024,europe,"This is the body text of document D217 in department engineering for region europe and year 2024."
D218,"Document Title D218 (engineering)",engineering,2021,europe,"This is the body text of document D218 in department engineering for region europe and year 2021."
D219,"Document Title D219 (hr)",hr,2021,latin_america,"This is the body text of document D219 in department hr for region latin_america and year 2021."
D220,"Document Title D220 (legal)",legal,2021,europe,"This is the body text of document D220 in department legal for region europe and year 2021."
D221,"Document Title D221 (finance)",finance,2021,north_america,"This is the body text of document D221 in department finance for region north_america and year 2021."
D222,"Document Title D222 (marketing)",marketing,2025,europe,"This is the body text of document D222 in department marketing for region europe and year 2025."
D223,"Document Title D223 (marketing)",marketing,2026,europe,"This is the body text of document D223 in department marketing for region europe and year 2026."
D224,"Document Title D224 (finance)",finance,2022,europe,"This is the body text of document D224 in department finance for region europe and year 2022."
D225,"Document Title D225 (legal)",legal,2025,europe,"This is the body text of document D225 in department legal for region europe and year 2025."
D226,"Document Title D226 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D226 in department marketing for region asia_pacific and year 2024."
D227,"Document Title D227 (sales)",sales,2022,asia_pacific,"This is the body text of document D227 in department sales for region asia_pacific and year 2022."
D228,"Document Title D228 (hr)",hr,2023,europe,"This is the body text of document D228 in department hr for region europe and year 2023."
D229,"Document Title D229 (legal)",legal,2026,north_america,"This is the body text of document D229 in department legal for region north_america and year 2026."
D230,"Document Title D230 (finance)",finance,2021,latin_america,"This is the body text of document D230 in department finance for region latin_america and year 2021."
D231,"Document Title D231 (finance)",finance,2024,north_america,"This is the body text of document D231 in department finance for region north_america and year 2024."
D232,"Document Title D232 (sales)",sales,2025,europe,"This is the body text of document D232 in department sales for region europe and year 2025."
D233,"Document Title D233 (hr)",hr,2025,north_america,"This is the body text of document D233 in department hr for region north_america and year 2025."
D234,"Document Title D234 (sales)",sales,2025,asia_pacific,"This is the body text of document D234 in department sales for region asia_pacific and year 2025."
D235,"Document Title D235 (sales)",sales,2026,asia_pacific,"This is the body text of document D235 in department sales for region asia_pacific and year 2026."
D236,"Document Title D236 (legal)",legal,2026,asia_pacific,"This is the body text of document D236 in department legal for region asia_pacific and year 2026."
D237,"Document Title D237 (engineering)",engineering,2022,latin_america,"This is the body text of document D237 in department engineering for region latin_america and year 2022."
D238,"Document Title D238 (marketing)",marketing,2021,north_america,"This is the body text of document D238 in department marketing for region north_america and year 2021."
D239,"Document Title D239 (marketing)",marketing,2021,europe,"This is the body text of document D239 in department marketing for region europe and year 2021."
D240,"Document Title D240 (legal)",legal,2022,north_america,"This is the body text of document D240 in department legal for region north_america and year 2022."
D241,"Document Title D241 (engineering)",engineering,2023,north_america,"This is the body text of document D241 in department engineering for region north_america and year 2023."
D242,"Document Title D242 (marketing)",marketing,2022,europe,"This is the body text of document D242 in department marketing for region europe and year 2022."
D243,"Document Title D243 (finance)",finance,2020,north_america,"This is the body text of document D243 in department finance for region north_america and year 2020."
D244,"Document Title D244 (finance)",finance,2025,latin_america,"This is the body text of document D244 in department finance for region latin_america and year 2025."
D245,"Document Title D245 (engineering)",engineering,2023,north_america,"This is the body text of document D245 in department engineering for region north_america and year 2023."
D246,"Document Title D246 (hr)",hr,2025,latin_america,"This is the body text of document D246 in department hr for region latin_america and year 2025."
D247,"Document Title D247 (sales)",sales,2023,north_america,"This is the body text of document D247 in department sales for region north_america and year 2023."
D248,"Document Title D248 (sales)",sales,2024,europe,"This is the body text of document D248 in department sales for region europe and year 2024."
D249,"Document Title D249 (hr)",hr,2021,latin_america,"This is the body text of document D249 in department hr for region latin_america and year 2021."
D250,"Document Title D250 (legal)",legal,2025,latin_america,"This is the body text of document D250 in department legal for region latin_america and year 2025."
D251,"Document Title D251 (sales)",sales,2021,north_america,"This is the body text of document D251 in department sales for region north_america and year 2021."
